id,name,latitude,longitude,elevation,date,thickness,date_lag,thickness_lag,ice_growth,AFDD,pct_nan,distance,station_id,water_type
ABRA2,Amber Lake North,62.1925,-150.503,449,2007-03-02,99.06,2007-02-01,68.58,30.48,311.666666666667,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2008-01-01,30.48,2007-12-03,10.16,20.32,271.388888888889,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2009-01-01,53.34,2008-12-01,40.64,12.7,420.277777777778,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2009-02-01,78.74,2009-01-01,53.34,25.4,396.111111111111,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2009-03-02,76.2,2009-02-01,78.74,-2.53999999999999,351.111111111111,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2010-01-01,38.1,2009-12-07,20.32,17.78,295.277777777778,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2010-02-03,38.1,2010-01-01,38.1,0,279.722222222222,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2010-03-01,66.04,2010-02-03,38.1,27.94,93.6111111111111,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2011-02-01,48.26,2011-01-02,40.64,7.62,305.555555555556,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2011-03-01,68.58,2011-02-01,48.26,20.32,318.333333333334,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2012-01-06,58.42,2011-12-05,20.32,38.1,385,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2012-02-01,63.5,2012-01-06,58.42,5.08,440.277777777778,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2012-03-01,68.58,2012-02-01,63.5,5.08,169.166666666667,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2013-01-01,58.42,2012-12-01,40.64,17.78,341.111111111111,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2013-02-01,66.04,2013-01-01,58.42,7.62,203.333333333333,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2013-03-05,66.04,2013-02-01,66.04,0,160,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2013-12-20,25.4,2013-12-01,25.4,0,210,0.05,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2014-01-05,66.04,2013-12-20,25.4,40.64,151.388888888889,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2014-03-03,68.58,2014-01-05,66.04,2.53999999999999,296.944444444444,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2015-01-05,38.1,2014-11-03,10.16,27.94,221.666666666667,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2015-03-01,60.96,2015-01-05,38.1,22.86,374.166666666667,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2016-12-01,30.48,2016-10-26,2.54,27.94,142.222222222222,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2017-01-04,48.26,2016-12-01,30.48,17.78,395,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2017-02-02,66.04,2017-01-04,48.26,17.78,372.5,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2018-01-22,38.1,2017-12-31,38.1,0,181.944444444444,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2020-02-29,55.88,2020-01-31,55.88,0,261.111111111111,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2021-01-30,55.88,2020-12-31,40.64,15.24,207.777777777778,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2021-02-01,63.5,2021-01-30,55.88,7.62,49.1666666666667,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2021-03-31,76.2,2021-02-01,63.5,12.7,609.444444444445,0,25.615184496851,PATK,lake
ABRA2,Amber Lake North,62.1925,-150.503,449,2022-02-02,60.96,2021-12-02,20.32,40.64,630,0,25.615184496851,PATK,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2001-03-01,17.78,2001-01-31,5.08,12.7,47.3611111111111,0.0333333333333333,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2001-12-02,7.62,2001-12-01,30.48,-22.86,27.5,0,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2002-01-01,66.04,2001-12-02,7.62,58.42,451.666666666667,0,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2002-02-01,71.12,2002-01-01,66.04,5.08,131.111111111111,0,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2002-03-01,76.2,2002-02-01,71.12,5.08,137.222222222222,0,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2004-02-02,83.82,2004-01-01,91.44,-7.61999999999999,458.472222222222,0.0303030303030303,0.503078945408825,PALJ,lake
ALSA2,Port Alsworth RAWS,60.1958,-154.32,321,2004-03-31,91.44,2004-02-02,83.82,7.61999999999999,247.083333333333,0.0169491525423729,0.503078945408825,PALJ,lake
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2000-01-01,78.74,1999-12-31,60.96,17.78,62.7777777777778,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2000-01-31,81.28,2000-01-01,78.74,2.54000000000001,535.833333333334,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2000-03-31,86.36,2000-01-31,81.28,5.08,324.444444444445,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-01-01,50.8,2000-11-30,27.94,22.86,141.388888888889,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-01-31,66.04,2001-01-01,50.8,15.24,228.333333333333,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-02-28,76.2,2001-01-31,66.04,10.16,177.777777777778,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-03-31,86.36,2001-02-28,76.2,10.16,328.333333333333,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-11-30,66.04,2001-11-04,35.56,30.48,324.444444444444,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2001-12-31,88.9,2001-11-30,66.04,22.86,641.944444444445,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2002-01-31,106.68,2001-12-31,88.9,17.78,357.5,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2002-03-01,119.38,2002-01-31,106.68,12.7,314.166666666667,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2003-01-01,53.34,2002-12-05,22.86,30.48,285.277777777778,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2003-01-31,73.66,2003-01-01,53.34,20.32,342.222222222222,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2003-03-06,96.52,2003-01-31,73.66,22.86,168.333333333333,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2003-03-31,78.74,2003-03-06,96.52,-17.78,273.333333333333,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2004-01-01,55.88,2003-11-30,22.86,33.02,459.722222222222,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2004-01-31,88.9,2004-01-01,55.88,33.02,520.833333333333,0,5.22325830584003,PABE,river
BETA2,Kuskokwim River at Bethel,60.7933,-161.746,10,2004-03-01,106.68,2004-01-31,88.9,17.78,307.222222222222,0,5.22325830584003,PABE,river
